Origin,Destination,Value,Zone
Malahide,Howth,D2,1
Malahide,Sutton,D2,1
Malahide,Bayside,D2,1
Malahide,Howth Junction and Donaghmede,D2,1
Malahide,Kilbarrack,D2,1
Malahide,Raheny,D2,1
Malahide,Harmonstown,D2,1
Malahide,Killester,D2,1
Malahide,Clontarf Road,D2,1
Malahide,Dublin Connolly,D2,1
Malahide,Tara Street,D2,1
Malahide,Dublin Pearse,D2,1
Malahide,Grand Canal Dock,D2,1
Malahide,Lansdowne Road,D2,1
Malahide,Sandymount,D2,1
Malahide,Sydney Parade,D2,1
Malahide,Booterstown,D2,1
Malahide,Blackrock,D2,1
Malahide,Seapoint,D2,1
Malahide,Salthill and Monkstown,D2,2
Malahide,Dun Laoghaire (Mallin),D2,1
Malahide,Sandycove and Glasthule,D2,1
Malahide,Glenageary,D2,1
Malahide,Dalkey,D2,1
Malahide,Killiney,D2,1
Malahide,Shankill,D2,1
Malahide,Bray (Daly),D2,1
Malahide,Greystones,D90,2
Malahide,Kilcoole,D90,2
Malahide,Wicklow,D91,3
Malahide,Rathdrum,D92,4
Malahide,Docklands,D2,1
Malahide,Drumcondra,D2,1
Malahide,Broombridge,D2,1
Malahide,Pelletstown,D2,1
Malahide,Ashtown,D2,1
Malahide,Navan Road Parkway,D2,1
Malahide,Castleknock,D2,1
Malahide,Coolmine,D2,1
Malahide,Clonsilla,D2,1
Malahide,Hansfield,D2,1
Malahide,Dunboyne,D2,1
Malahide,M3 Parkway,D2,1
Malahide,Leixlip(Confey),D2,1
Malahide,Leixlip(Louisa Bridge),D2,1
Malahide,Maynooth,D2,1
Malahide,Kilcock,D90,2
Malahide,Enfield,D91,3
Malahide,Dublin Heuston,D2,1
Malahide,Park West and Cherry Orchard,D2,1
Malahide,Clondalkin Fonthill,D2,1
Malahide,Kishoge,D2,1
Malahide,Adamstown,D2,1
Malahide,Hazelhatch and Celbridge,D2,1
Malahide,Sallins and Naas,D90,1
Malahide,Newbridge,D91,3
Malahide,Kildare,D92,4
Portmarnock,Drogheda (MacBride),D91,3
Portmarnock,Laytown,D91,3
Portmarnock,Gormanston,D90,2
Portmarnock,Balbriggan,D14,2
Portmarnock,Skerries,D14,2
Portmarnock,Rush and Lusk,D2,1
Portmarnock,Donabate,D2,1
Portmarnock,Malahide,D1,1
Portmarnock,Clongriffin,D1,1
Portmarnock,Howth,D2,1
Portmarnock,Sutton,D2,1
Portmarnock,Bayside,D2,1
Portmarnock,Howth Junction and Donaghmede,D1,1
Portmarnock,Kilbarrack,D2,1
Portmarnock,Raheny,D2,1
Portmarnock,Harmonstown,D2,1
Portmarnock,Killester,D2,1
Portmarnock,Clontarf Road,D2,1
Portmarnock,Dublin Connolly,D2,1
Portmarnock,Tara Street,D2,1
Portmarnock,Dublin Pearse,D2,1
Portmarnock,Grand Canal Dock,D2,1
Portmarnock,Lansdowne Road,D2,1
Portmarnock,Sandymount,D2,1
Portmarnock,Sydney Parade,D2,1
Portmarnock,Booterstown,D2,1
Portmarnock,Blackrock,D2,1
Portmarnock,Seapoint,D2,1
Portmarnock,Salthill and Monkstown,D2,2
Portmarnock,Dun Laoghaire (Mallin),D2,1
Portmarnock,Sandycove and Glasthule,D2,1
Portmarnock,Glenageary,D2,1
Portmarnock,Dalkey,D2,1
Portmarnock,Killiney,D2,1
Portmarnock,Shankill,D2,1
Portmarnock,Bray (Daly),D2,1
Portmarnock,Greystones,D90,2
Portmarnock,Kilcoole,D90,2
Portmarnock,Wicklow,D91,3
Portmarnock,Rathdrum,D92,4
Portmarnock,Docklands,D2,1
Portmarnock,Drumcondra,D2,1
Portmarnock,Broombridge,D2,1
Portmarnock,Pelletstown,D2,1
Portmarnock,Ashtown,D2,1
Portmarnock,Navan Road Parkway,D2,1
Portmarnock,Castleknock,D2,1
Portmarnock,Coolmine,D2,1
Portmarnock,Clonsilla,D2,1
Portmarnock,Hansfield,D2,1
