Origin,Destination,Value
Sutton,Enfield,D91
Bayside,Drogheda (MacBride),D91
Bayside,Laytown,D91
Bayside,Gormanston,D90
Bayside,Balbriggan,D90
Bayside,Skerries,D90
Bayside,Rush and Lusk,D2
Bayside,Donabate,D2
Bayside,Malahide,D2
Bayside,Portmarnock,D2
Bayside,Clongriffin,D1
Bayside,Howth,D2
Bayside,Sutton,D1
Bayside,Howth Junction and Donaghmede,D1
Bayside,Kilbarrack,D1
Bayside,Raheny,D1
Bayside,Harmonstown,D2
Bayside,Killester,D2
Bayside,Clontarf Road,D2
Bayside,Dublin Connolly,D2
Bayside,Tara Street,D2
Bayside,Dublin Pearse,D2
Bayside,Grand Canal Dock,D2
Bayside,Lansdowne Road,D2
Bayside,Sandymount,D2
Bayside,Sydney Parade,D2
Bayside,Booterstown,D2
Bayside,Blackrock,D2
Bayside,Seapoint,D2
Bayside,Salthill and Monkstown,D2
Bayside,Dun Laoghaire (Mallin),D2
Bayside,Sandycove and Glasthule,D2
Bayside,Glenageary,D2
Bayside,Dalkey,D2
Bayside,Killiney,D2
Bayside,Shankill,D2
Bayside,Bray (Daly),D2
Bayside,Greystones,D90
Bayside,Kilcoole,D90
Bayside,Wicklow,D91
Bayside,Rathdrum,D92
Bayside,Docklands,D2
Bayside,Drumcondra,D2
Bayside,Broombridge,D2
Bayside,Pelletstown,D2
Bayside,Ashtown,D2
Bayside,Navan Road Parkway,D2
Bayside,Castleknock,D2
Bayside,Coolmine,D2
Bayside,Clonsilla,D2
Bayside,Hansfield,D2
Bayside,Dunboyne,D2
Bayside,M3 Parkway,D2
Bayside,Leixlip(Confey),D2
Bayside,Leixlip(Louisa Bridge),D2
Bayside,Maynooth,D2
Bayside,Kilcock,D90
Bayside,Enfield,D91
Howth Junction and Donaghmede,Drogheda (MacBride),D91
Howth Junction and Donaghmede,Laytown,D91
Howth Junction and Donaghmede,Gormanston,D90
Howth Junction and Donaghmede,Balbriggan,D90
Howth Junction and Donaghmede,Skerries,D90
Howth Junction and Donaghmede,Rush and Lusk,D2
Howth Junction and Donaghmede,Donabate,D2
Howth Junction and Donaghmede,Malahide,D2
Howth Junction and Donaghmede,Portmarnock,D1
Howth Junction and Donaghmede,Clongriffin,D1
Howth Junction and Donaghmede,Howth,D2
Howth Junction and Donaghmede,Sutton,D1
Howth Junction and Donaghmede,Bayside,D1
Howth Junction and Donaghmede,Kilbarrack,D1
Howth Junction and Donaghmede,Raheny,D1
Howth Junction and Donaghmede,Harmonstown,D1
Howth Junction and Donaghmede,Killester,D2
Howth Junction and Donaghmede,Clontarf Road,D2
Howth Junction and Donaghmede,Dublin Connolly,D2
Howth Junction and Donaghmede,Tara Street,D2
Howth Junction and Donaghmede,Dublin Pearse,D2
Howth Junction and Donaghmede,Grand Canal Dock,D2
Howth Junction and Donaghmede,Lansdowne Road,D2
Howth Junction and Donaghmede,Sandymount,D2
Howth Junction and Donaghmede,Sydney Parade,D2
Howth Junction and Donaghmede,Booterstown,D2
Howth Junction and Donaghmede,Blackrock,D2
Howth Junction and Donaghmede,Seapoint,D2
Howth Junction and Donaghmede,Salthill and Monkstown,D2
Howth Junction and Donaghmede,Dun Laoghaire (Mallin),D2
Howth Junction and Donaghmede,Sandycove and Glasthule,D2
Howth Junction and Donaghmede,Glenageary,D2
Howth Junction and Donaghmede,Dalkey,D2
Howth Junction and Donaghmede,Killiney,D2
Howth Junction and Donaghmede,Shankill,D2
Howth Junction and Donaghmede,Bray (Daly),D2
Howth Junction and Donaghmede,Greystones,D90
Howth Junction and Donaghmede,Kilcoole,D90
Howth Junction and Donaghmede,Wicklow,D91
Howth Junction and Donaghmede,Rathdrum,D92
Howth Junction and Donaghmede,Docklands,D2
